,REFCODE,Habit,Solvent,SMILES
5475,CUHDAM,block,ethyl acetate,CC1CCC2C1C1OC(=O)C2(C)OC2=C1C(=O)Oc1cccc(C)c21
5486,CUHLEX,block,methanol,O=C(OCCN(CCOC(=O)C1=CC=CN1)c1ccccc1)C1=CC=CN1
5489,CUHPOL,prism,methanol,CCC(C)OC1(OCC1(c1ccccc1)c1ccccc1)c1ccc(cc1)C#N
5494,CUHYOV,block,diethyl ether,CC(=O)OC1(CC2OC1C1OC(C)(C)OC21CCCOC(=O)C(C)(C)C)C#N
5498,CUJQED,prism,methanol,CCOC(=O)C12CC(C)(C)OOC1(O)CN(Cc1ccccc1)C2=O
5506,CUJXEM,block,pentane,CN1(C)CCN(C)(C)[Li]21C(C=CC=C)[Si](C)(C)CN12CCCC1
5512,CUKCER,block,dimethylsulfoxide,Nc1nc(nc(N)c1N=O)N1CCOCC1
5515,CUKDUI,prism,benzene,CC1(C)OC2(Oc3c(ccc(O)c3C=O)C=C2)c2ccccc12
5519,CUKGAR01,block,diethyl ether,CC(C)(C)C1=C2CN2S(=O)(=O)OCC1
5521,CUKHOG,block,tetrahydrofuran,Cc1ccc(cc1)C1=C(C2C3CCC(C3)C12)C(=O)N1C2CC3CCC2(CS1(=O)=O)C3(C)C
5522,CUKHUM01,prism,toluene,N1C=CC=C1C=Nc1ccccc1
5525,CUKYAK,block,ethanol,NC(=O)C1=C(NC(=O)CN2CCCCC2)c2ccccc2O1
5531,CUNPIL,prism,acetone,COc1cc(OC)c2Cc3c(OC)cc(OC)c(Cc4c(OC)cc(OC)c(Cc5c(OC)cc(OC)c(Cc1c2OC)c5OC)c4OC)c3OC
5535,CUNRAF,block,ethyl acetate,OC1OC(OC1(c1ccccc1)c1ccccc1)C(c1ccccc1)c1ccccc1
5536,CUNRIO,block,ethyl acetate,COc1cc2CCN3Cc4c(CC3c2cc1OC)ccc(OC)c4OC
5537,CUNWIR,block,methanol,CN(C)c1c(Cl)ccc2ccc(Cl)c(N(C)C)c12
