,REFCODE,Habit,Solvent,SMILES
0,ABABIR,tab,ether,OC1(CC2CCCC(CC(=O)c3ccccc3)N2C(=O)C1)c1ccccc1
1,ABABOX,plate,ether,OC1(CC2CCCC(CC(=O)c3ccccc3)N2C(=O)C1Cl)c1ccccc1
2,ABAJIY,block,chloroform/hexane,COc1ccc2ccc(OC)c(C(=O)c3c(C)cc(C)cc3C)c2c1
3,ABAJUK,block,methanol,COc1cc(Br)cc(C=NNC(=O)CC2=CNc3ccccc23)c1O
4,ABAKIZ,block,ethanol,CCC(C=Cc1ccc(F)cc1)=C(C#N)C#N
5,ABAKUK,block,ethanol/hexane,CCC1OC(=O)C(NC(=O)OC(C)(C)C)C1C
6,ABALAT01,needle,Hexane/Ethyl Acetate,COC(C(C)C)C(=O)NC(C)c1ccccc1
7,ABAMAS,plate,ethanol,CC(C)(C)C(Nc1cccc(c1)P(=O)(c1ccccc1)c1ccccc1)C(C)(C)C
8,ABATOO,block,hexane/chloroform,CC(C)(C)c1ccc(O)c(C=NO)c1
9,ABAVAC,plate,dichloroethane,CC(C)(C)c1cc(C=NO)c(O)c(c1)C(C)(C)C
10,ABAVEG,block,chloroform,CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O
11,ABAVIK,plate,hexane/chloroform,CC(C)(C)c1cc(Cl)c(O)c(C=NO)c1
12,ABAVOQ,block,hexane/chloroform,CC(C)(C)c1cc(Br)c(O)c(C=NO)c1
13,ABAVUW,block,acetone,COc1cc(cc(C=NO)c1O)C(C)(C)C
14,ABAWAD,block,hexane,CC(C)(C)CC(C)(C)c1ccc(O)c(C=NO)c1
15,ABAWEH,block,chloroform,CC(C)(C)CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O
16,ABAWIL,lath,toluene,ON=Cc1cccc(Br)c1O
17,ABAWOS,BLOCK,"N,N-dimethylformamide",Cc1ccc(cc1)S(=O)(=O)Nc1c(F)cccc1C1=NCCO1
18,ABAWUY,needle,Ethanol,CC1=C(N=NN1Cc1ccccc1)c1cc(nc(N)n1)c1ccccc1
19,ABAXAF,needle,Ethanol,Cc1ccccc1c1cc(nc(N)n1)C1=C(C)N(Cc2ccccc2)N=N1
20,ABEDOA01,needle,ethanol,OCCCOCC1=CSC(=N1)C1=NC(=C(S1)C1=C(COCCCO)N=C(S1)C1=NC(=CS1)COCCCO)COCCCO
21,ABEFAP,block,pyridine,COc1ccc(cc1)C(=O)NC(=S)Nc1ccccc1OC
22,ABEFOD,block,DMF/methanol,Clc1ccc(cc1)C=C1CCCCCCC1=O
23,ABEFUJ01,block,propanol,S=C1NN=C(Cc2ccccc2)N1c1ccccc1
24,ABEGAQ,plate,ethanol-water,COC(=O)C1=C(SC(=N1)N)C(C)C
25,ABEGEU,elongated prism,acetonitrile,Oc1cccc(c1)C#N
26,ABEGIY,block,ethyl acetate,O=C1OC(=CC=C1)C=Cc1ccccc1
27,ABEGOE,block,ethanol,CCOC(=O)CN1C(=O)N(C)C2=C(N(C)C=N2)C1=O
28,ABEHAR,prism,diethyl ether,Cc1cc(C)c(c(C)c1)C1(C)CC(C1)C(=O)CN1CCCC1
29,ABEHAS,prismatic,diethyl ether,CC1(CCC2=C(C1)Nc1ccc(Br)cc21)CN(=O)=O
30,ABEHIZ,prism,ethanol,CSc1ccccc1NC(=O)c1cccc(n1)C(=O)Nc1ccccc1SC
31,ABEHUL,rod,hexane,CN1CCC(CC1)(C#N)C1=CSc2ccccc12
32,ABEJIB,block,ethyl acetate,CCOC1(CCC(=O)N1C)C(C)O
33,ABEKEY,plate,methanol,N(N=CC1=CC=CS1)c1ccccc1
34,ABEKIC,block,ethanol,CC(=O)NC1=C(C(=O)Nc2ccccc2C)C(=C(C)S1)C
35,ABEKOJ,needle,hexane/methanol,CCOC(=O)C(Cc1ccc(Br)cc1)(C1CC(=O)N(Cc2ccccc2)C1=O)N(=O)=O
36,ABEKUO,block,ethanol,CC(=NOCC(O)=O)c1ccccc1N=Nc1ccccc1
37,ABELAV,block,ethanol,CCOc1ccccc1C1=Nc2ccccc2N1CC
38,ABELAW,plate,dichloromethane/methanol,CC(=O)NN(CC(N)=O)C(C)=O
39,ABELEZ,cut needle,hexanes,CC1(C)C2CCC31CS(=O)(=O)N(C3C2)C(=O)C1=C(C2C3CCC(C3)C12)c1ccccc1
40,ABEMEA,rod,ethanol-dioxane,Oc1ccccc1C1=NNC(=S)N1c1ccccc1
41,ABEMIE,prism,THF,CN(C)P(=O)(N(C)C)N1C(=Nc2ccccc12)N
42,ABEMUQ,tablet,ethanol,Cc1ncc(CO)c(C(N2CC3(CCCCC3)OB(O2)c2ccccc2)c2ccccc2)c1O
43,ABENAX,block,methanol,COC(=O)c1cc(cc(c1O)N(=O)=O)N(=O)=O
44,ABENAZ,tabular,dichloromethane/methanol,CCCC[Se]C1=C([Se]C2=C1Oc1ccccc21)c1ccc(Cl)cc1
45,ABENEB,rod,dichloromethane-hexane,OC(=O)c1cc(F)ccc1O
46,ABENED,block,dichloromethane/methanol,CCCC[Se]C1=C([Se]C2=C1Oc1ccccc21)c1ccc(Br)cc1
47,ABENOM,block,toluene,OCC1Cc2ccccc2CN1
48,ABENUQ,prism,ethanol,OCC1OC(C(O)C1O)N1C=CN=C1N(=O)=O
49,ABEPED,plate,chloroform/hexane,COC(=O)C1OC(C(C)N=[N+]=[N-])C1O
50,ABEPIH,block,anhydrous ethanol,CC1=CN(CC(O)=O)C(=O)NC1=O
51,ABEPON,needle,dichloromethane,CCN1c2ccc(cc2c2cc(C)cc(c12)N(=O)=O)N(=O)=O
52,ABEQAA,block,ethanol,CC12Nc3ccccc3OC1(C)Nc1ccccc1O2
53,ABEQAC,Block,hexane,O=C(c1ccccc1)c1nc2ccccc2nc1c1ccccc1
54,ABEQII,block,methanol,COCC1S(=O)CCCS1=O
55,ABEQOO,block,methanol-dichloromethane,Cc1c(O)cc2C(=O)C3(CC4C(C)(O)CCC(Cl)C4(C)C)OC(C)(C)C(Cl)CC3(Cl)C(=O)c2c1O
56,ABEROP,block,acetone,Nc1ccc2ccc(Cl)nc2n1
57,ABESAC,needle,chloroform,O=N(=O)c1cccc(c1)P(=O)(c1cccc(c1)N(=O)=O)c1cccc(c1)N(=O)=O
58,ABESEG,plate,dry DMSO,N1C=Nc2cc3ccccc3cc12
59,ABESIK,block,methanol,Clc1cc(Cl)c(cc1Cl)c1ccccc1
60,ABESOS,block,chloroform,Fc1ccc(cc1)C(=O)C1=CN2C(=Nc3ccccc23)S1
61,ABESUW,block,ethyl acetate,Clc1ccc(cc1)C(=O)NNC(=S)NC(=O)c1ccccc1Cl
62,ABESUY,block,Chloroform,Cc1ccc(cc1)C(=O)C1=CN2C(=Nc3ccccc23)S1
63,ABETAD,slab,pentane/diethyl ether,CCOC(=O)C1(CC(C)=O)C2C3OC(C4C3C(=O)OC4=O)C12
64,ABEYAI,block,petroleum,Cc1cc(C)cc(c1)N12[Li](N(=C(C)c3ccccc13)C1CCCCC1)N1([Li](N(=C(C)c3ccccc13)C1CCCCC1)N1([Li]2N(=C(C)c2ccccc12)C1CCCCC1)c1cc(C)cc(C)c1)c1cc(C)cc(C)c1
65,ABEYEM,block,petroleum,Cc1cc(C)c(c(C)c1)N12[Li](N(=C(C)c3ccccc13)C1CCCCC1)N1([Li]2N(=C(C)c2ccccc12)C1CCCCC1)c1c(C)cc(C)cc1C
66,ABIBES,prism,diethyl ether,C[Si]1(C)c2ccc3ccccc3c2c2c3ccccc3ccc2[Si]1(c1ccccc1)c1ccccc1
67,ABIFUP,block,ethyl acetate/hexane,CC(=O)C1CCC2C3CC=C4CC(F)CCC4(C)C3CCC12C
68,ABIGAW,plate,ethyl acetate/hexane,CC12CCC(F)CC1CCC1C2CCC2(C)C1CCC2=O
69,ABIGEA,block,ethyl acetate/hexane,CC1CC(F)C2=C(SC=C2)S1(=O)=O
70,ABIHIC,prismatic,toluene,C[Si]12Oc3c4Cc5cccc(Cc6cccc(Cc7cccc(Cc3ccc4)c7O1)c6O2)c5O
71,ABIHOI,prismatic,toluene,COc1c2Cc3cccc4Cc5cccc6Cc7cccc(Cc1ccc2)c7O[Si](C)(Oc34)Oc56
72,ABIKIF,prism,methanol,OCC12OC(C(C1c1ccc(O)cc1)C(O)=O)C(=O)C=C2
73,ABINII,Prism,chloroform/hexanes/ethyl acetate,CC1C(CCC2C1(C)CCC1C2(C)CCC23C4CC(C)(C)CCC4(C)C(CC12C)OC3=O)OC(=O)c1ccccc1
74,ABINOO,needle,methanol,CC1(C)OC(=O)C=CC2(C)C3CCC4(C)C(OC(=O)C4C3=CC(=O)C3OC123)C1=COC=C1
75,ABINUU,prism,methanol,COC(=O)C1(O)C(=O)C2(C)C(CCC1(C)C(=O)C1=COC=C1)C1(C)OC(=O)CC31C2CC(=O)OC3(C)C
76,ABINUV,rectangular plate,dichloromethane,Cc1cc(cc(c1P=C(c1cccc(n1)C(=Pc1c(C)cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C
77,ABIPAD,block,benzene,Cc1cc(cc(c1P1P(P(P1c1c(C)cc(cc1C(C)(C)C)C(C)(C)C)c1c(C)cc(cc1C(C)(C)C)C(C)(C)C)c1c(C)cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C
78,ABIPEG,prism,ethanol,CC(=O)OCC1OC(C(OC(C)=O)C(OC(C)=O)C1OC(C)=O)C1=NC(=NS1)C1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
79,ABISEJ,blocks,pentane/diethyl ether,CN(C)C12CC(=O)C3(CCCCC13)C=C2C(C)=C
80,ABISIN,blocks,pentane/diethyl ether,CN(C)C12CC(=O)C3(CCCCC13)C(=C2C#Cc1ccccc1)c1ccccc1
81,ABITUD,rod,Vapour deposition,CCC1=C(C)C2=Cc3ccccc3B(O)N2C1=O
82,ABIVAL,needle,Vapour deposition,CCC1=C(C)C2=Cc3c(OC)cc(OC)cc3C(=O)N2C1=O
83,ABIVUD,needle,dichloromethane/methanol,N1N=C(NN=C1c1cnccn1)c1cnccn1
84,ABIYAM,block,chloroform,CNC(=O)c1cc(cc2C(=O)N(C)[Se]c12)C(C)(C)C
85,ABOBOI,prismatic,diethyl ether/hexane,CN1C=CN=C1P(c1ccccc1)c1ccccc1
86,ABOGOO,Block,petroleum ether/ethyl acetate,O=C1C2C3C=CCC3C(C3=C2CCC3)C21CO2
87,ABOHAB,blocks,methanol,CC(C)CC1c2c(O)c3C(=O)CC(Oc3c(C)c2OC2=C1C(=O)C(C)(C)C(=O)C2(C)C)c1ccccc1
88,ABOHEF,plate,ethyl ether,COC(=O)C(C)=Cc1ccc2OCOc2c1
89,ABOJAD,thin platy needles,ethanol/water,CC1(C)OC2CCC(O)C(CCC2O1)P(=O)(c1ccccc1)c1ccccc1
90,ABOJEH,plate,n-hexane,CC(C)(C)[Si](C)(C)Oc1ncc(c2ccccc2)c(O[Si](C)(C)C(C)(C)C)c1C1OCC(=O)C=C1
91,ABOJIL,plate,n-heptane,CC1CC(=O)COC1c1c(O[Si](C)(C)C(C)(C)C)nc(Cl)c(c2ccccc2)c1O[Si](C)(C)C(C)(C)C
92,ABOKEK,prism,ethyl acetate/hexane,[Se]=C1N(Cc2ccccc2)C=NN1C1=C(NC=C1c1ccccc1)c1ccccc1
93,ABOKUY,Platelet,ethanol,C(N1C=NC=N1)c1ccc(CN2C=NC=N2)cc1
94,ABOMOW,block,ethanol,OC1C(Nc2ccccc2N(Cc2ccccc2)C1=O)c1ccccc1
95,ABONEK,diamond,dmso/acetonitrile/tetraethylammonium chloride (at 8 deg.C),Nc1cccc(NC(=O)c2cccc(n2)C(=O)Nc2cccc(NC(=O)c3cccc(n3)C(=O)Nc3cccc(N)n3)n2)n1
96,ABOPUC,plate,n-hexane,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
97,ABOPUD,Block,ethanol,N(N(P(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1
98,ABORIT,rectangular,acetone,Brc1ccc(cc1)C1=CC(=C(C#N)C1=O)N1CCCCC1
99,ABOROB,needle,dimethyl sulfoxide,CCCCCc1ccc(NC(=O)COc2cc(C)nc3ccc(OC)cc23)cc1
100,ABORUE,plate,ether/chloroform,C1CCC2=C(NN=C2C1)c1cccc(n1)C1=C2CCCCC2=NN1
101,ABORUF,needle,diethyl ether,[Te](c1ccccc1)c1nc([Te]c2ccccc2)nc([Te]c2ccccc2)n1
102,ABOSAL,prism,ether/chloroform,CN1N=C(c2cccc(n2)C2=NN(C)C3=C2CCCC3)C2=C1CCCC2
103,ABOSEP,prism,ether/chloroform,CCOC(=O)c1ccc(cc1)N1N=C(C2=C1CCCC2)c1cccc(n1)C1=NN(C2=C1CCCC2)c1ccc(cc1)C(=O)OCC
104,ABOSIU,plate,diethyl ether,CC(C)(C)OC(=O)C1CCC2CCC(Cc3ccccc3)(NCc3ccccc3)C(=O)N12
105,ABOSOA,prism,diethyl ether,CC(C)(C)OC(=O)C1CCC2CCCC(Cc3ccccc3)(NCc3ccccc3)C(=O)N12
106,ABOTAN,rectangular,acetone,C=C(C1OC(=O)C(=C1N1CCCCC1)C#N)c1ccccc1
107,ABOTER,rectangular,acetone,CC(C1=CC=CS1)=C1OC(=O)C(=C1N1CCCCC1)C#N
108,ABOVIX,block,ether,CC1(C)C2CC(O)C(CP(=O)(c3ccccc3)c3ccccc3)C1C2
109,ABOWAR,needle,hexane/ethyl acetate,CC(N=Cc1cc(Br)ccc1O)c1ccccc1
110,ABOWET,needle,cyclohexane/dichloromethane,CCCCCCCCOc1cc(C=Cc2ccc(cc2)C=Cc2ccccc2C#N)c(OCCCCCCCC)cc1C=Cc1ccc(cc1)C=Cc1ccccc1C#N
111,ABOWIX,plate,chloroform,CCCCCCCCOc1cc(C=Cc2ccc(cc2)C=C(C#N)c2ccc(OC)cc2)c(OCCCCCCCC)cc1C=Cc1ccc(cc1)C=C(C#N)c1ccc(OC)cc1
112,ABOWIZ,needle,hexane/ethyl acetate,CC(N=Cc1c(O)ccc2ccccc12)c1ccccc1
113,ABOWUJ,triangular plate,diethyl ether/hexane,COC1(C)CCOOC2(CCCCC2)OOCCC(C)(CI)OO1
114,ABOXEU,plate,diethyl ether/hexane,CC1(CI)CCOOC2(CCCCCCCCCCC2)OOCCCCCCOO1
115,ABOZEZ,Prism,chloroform,BrC1C(Br)C2(C(=O)Oc3ccc4ccc5ccc6ccccc6c5c4c23)c2c1ccc1ccc3ccccc3c21
116,ABUBAA,prism,ethanol,Oc1ccc(Br)cc1C=NCCN(CCN=Cc1cc(Br)ccc1O)CCN=Cc1cc(Br)ccc1O
117,ABUBEE,prism,acetonitrile,OC(=O)C(N1C=CC=N1)N1C=CC=N1
118,ABUDAD01,prism,methanol,O=C1NC2CCCCCCCCCCC12
119,ABUDIL,prism,acetone,CC(NC12CCCCC1CC(=O)NC2=O)c1ccccc1
120,ABUFEL,plate,hexanes,C[Si](C)(C)C#CC1=CC=C(S1)C1234[BH]567[BH]89%10[BH]%11%12%13[BH]%1458[BH]58%11[BH]%11%15%12[BH]%129%13[BH]16%10[BH]2%11%12C35%15(C1=CC=C(S1)C#C[Si](C)(C)C)[BH]47%148
121,ABUFOT,block,diethyl ether/n-hexane,C[Si](C)(O)c1cc(cc(c1)[Si](C)(C)O)[Si](C)(C)O
122,ABUGIN,parallelepiped,acetone,COC(=O)C1(OC)C2=C(C(=O)c3ccccc3N2C)C1(OC)C(=O)OC
123,ABUGOW,needles,hexane/dichloromethane/ethanol,CC(C)(O)C=C1OC(=O)C(=C1)C1CCC23CC12CCC1C2(C)C=CC(=O)C(C)(C)C2CC(O)C31C
124,ABUJIQ,block,ethyl acetate/hexane,CC(C)(C)[Si](C)(C)OCN1C=NC2=C(C3C(C(C3c3ccccc3)C3=C4N=CN(CO[Si](C)(C)C(C)(C)C)C4=NC(=O)N3CO[Si](C)(C)C(C)(C)C)c3ccccc3)N(CO[Si](C)(C)C(C)(C)C)C(=O)N=C12
125,ABUKIR,prism,methanol,CC(=O)OC1CCC(C)(C)C2CCC3=C(C(OC(C)=O)OC3=O)C12C
126,ABUKOX,parallelepiped,acetone,CC1=CN(C2OCC(OC(=O)c3ccccc3)C(OC(=O)c3ccccc3)C2OC(=O)c2ccccc2)C(=O)NC1=O
127,ABULAK,prism,hexane/diethyl ether,CC(C)C1(C)N=C1N(C)C(C)c1cccc2ccccc12
128,ABULEO,prism,hexane/diethyl ether,CC(N(C)C1=NC1(C)C1CCCC1)c1cccc2ccccc12
129,ABULIS,prism,ethyl acetate/hexane,CC(C)CC1(C)N=C1N(C)C(C)c1cccc2ccccc12
130,ABULIT07,block,chloroform,COc1cccc(C=NO)c1O
131,ABULUE,prism,hexane,COC(=O)C1=CC(=CC2=C(C)C=C(C)C=C(C)C2=C1C(=O)OC)c1c(C)c(C)c(C)c(C)c1C
132,ABUMAL,prism,hexane/diethyl ether,COC(=O)c1c(C)c2c(C)c(C)c(C)c3C=C(c4c(C)c(C)c(C)c(C)c4C)c(c1C(=O)OC)c23
133,ABUMEP,prism,hexane,COC(=O)C1=CC(=CC2=C(C)C(=C(C)C(=C(C)C2=C1C(=O)OC)C)C)c1c(C)c(C)c(C)c(C)c1C
134,ABUMOC,plate,dichloromethane/hexane,CCOC(=O)C=C1NC(C)(C)C2CCC(C)(O)C1C2
135,ABUMUI,block,dichloromethane/hexane,CC1NC(C)(C)C2CCC(C)(NC(C)=O)C1C2
136,ABUVOJ,elongated plate,ethanol,CCN(CC)c1ccc(C=Nc2ccc(cc2)N(=O)=O)c(O)c1
137,ABUYAY,rod shaped,dichloromethane/n-hexane (1:5),ClP1(=NP2(=NP(=N1)(Cl)Cl)N1CCCN2Cc2ccccc2OCCOCCOc2ccccc2C1)Cl
138,ACABAK,lath,cyclohexane/ethyl acetate,CN(C)C(c1ccccc1)c1ccccc1C
139,ACABUC,needle,methanol,CC(=O)OCC12CCC(C1C1CCC3C4(C)CCC(OC(C)=O)C(C)(C)C4CCC3(C)C1(C)CC2)C1(C)CO1
140,ACAFEQ,Prism,acetone/anhydrous ethanol,S=C(NCc1ccccn1)Nc1ccccc1
141,ACAGIU01,block,chloroform,C#Cc1ccncc1
142,ACAMIB,prism,chloroform,OCCN1CSCSC1
143,ACAMUN,prism,chloroform,CC(O)CN1CSCSC1
144,ACANAC12,plate,ethanol,CC(=O)Nc1ccccc1C(O)=O
145,ACANEY,prism,chloroform,Cc1ccc(cc1)S(=O)(=O)N1CCOC1
146,ACANOI,prism,chloroform,CC1CN(CO1)S(=O)(=O)c1ccc(C)cc1
147,ACAPAW,prism,chloroform/methanol,CC1C(OCN1S(=O)(=O)c1ccc(C)cc1)c1ccccc1
148,ACAPEA,prism,chloroform,Cc1ccc(cc1)S(=O)(=O)NCCO
149,ACAPID,plate,dichloromethane,Nc1nc(F)c(c(n1)C(F)(F)C(F)(F)F)C(F)(F)F
150,ACAQUR,rod-shaped chunk,hexanes,CO1c2ccccc2N2C(=CC(=N3c4ccccc4O(C)[Ca]456123N(C(=CC(=N4c1ccccc1O5C)C)C)c1ccccc1O6C)C)C
151,ACAROL,rod,ether,Fc1c(F)c(F)c(c(Nc2ccccc2)c1F)P(=O)(c1ccccc1)c1ccccc1
152,ACARUR,needle,hexane,O=P1(CCCCS1)c1ccccc1
153,ACASAY,plate,acetonitrile,CC(C)C1CCC(C)C(=Cc2ccc(cc2)c2ccccc2)C1=O
154,ACAWIL,platelet,hexane,CC1CC=CC(=O)OC(C)CC=CC(=O)OC(C)CC(=O)O1
155,ACAXAE,blocks,hexane/tetrahydrofuran,F[Si](N1c2ccccc2c2ccccc12)(N1c2ccccc2c2ccccc12)c1ccccc1
156,ACAXEI,blocks,hexane/toluene,C[Si](F)(N1c2ccccc2c2ccccc12)N1c2ccccc2c2ccccc12
157,ACAYIN,irregular,dichloromethane,Cc1cc(cc(C)c1O)C(C)(C)c1ccc(cc1)C(C)(C)c1cc(C)c(O)c(C)c1
158,ACAYOS,prisms,ethanol,Clc1cc(nc(n1)c1ccccc1)N(=O)=O
159,ACAYUY,plates,ethanol,Clc1ccnc(n1)c1ccccc1
160,ACAZIN,plate,hexane,COc1cc(C)c2C3CCC4(C)C(CCC4C3CCc2c1)OC(C)=O
161,ACAZOT,plate,hexane,COc1ccc2C3CCC4(C)C(CCC4C3C(C)Cc2c1)OC(C)=O
162,ACBNZA02,block,methanol,CC(=O)Nc1ccccc1C(N)=O
163,ACEBIT,block,petrol,CC(C)N(C(C)C)C(=O)c1ccccc1C(C)[Si](C)(C)C
164,ACECAN01,prism,ether,CC(=O)OCc1c(C)cc(OC(C)=O)cc1O
165,ACECER,block,ether,CC1COC2(C)Oc3cc(O)cc(C)c3CC12
166,ACEFAS,block,ethanol/hexane,CC(=O)Oc1ccc2c(Oc3c4CCCN5CCCc(cc3C3=C2C(=O)c2ccccc32)c45)c1
167,ACEFEW,block,ethanol/Hexane,Cc1ccccc1C1=C2C=CC(=O)C=C2Oc2c3CCCN4CCCc(cc12)c34
168,ACEFIA,needle,ethanol/Hexane,Oc1ccc2c(Oc3c4CCCN5CCCc(cc3C3=C2C(=O)c2ccccc32)c45)c1
169,ACEHEV,block,toluene,CN(C)B1OC(C(C=NC(C)(C)C)N1C(C)(C)C)=C(c1ccccc1)c1ccccc1
170,ACEHEW,needle,dichloromethane/ethanol,CC(=O)OCC1OC(OCC#C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
171,ACEHIA,plate,dichloromethane/ethanol,CN1C(=O)c2cccc3c(ccc(C1=O)c23)C#CCOC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
172,ACEJUO,cubic,dichloromethane/methanol,COC1=C2SC(=C1OC)C(=C1C=CC(=N1)C(=C1NC(=C(c3ccccc3)C3=NC(=C2c2ccccc2)C=C3)C=C1)c1ccccc1)c1ccccc1
173,ACEKUO,block,ethyl acetate,COc1cccc2OC(=C(C)c12)C1(C)COc2cccc(OC)c12
174,ACEMAX,prism,chloroform/hexane,NC(=O)CNC(c1ccccc1)c1ccccc1
175,ACEMID07,block,High-pressure crystallisation from aqueous solution,CC(N)=O
176,ACEMUR,block,ethanol,O=N(=O)c1ccc(NN=Cc2ccc3OCOc3c2)c(c1)N(=O)=O
177,ACENAY,plate,ethyl acetate/petroleum ether,CC1=CC2CN(Cc3ccccc3)C(=O)C2C(C1)C(O)=O
178,ACENEC,plate,ethyl acetate/petroleum ether,CC1=CC2CN(Cc3ccccc3)C(=O)C2C(C1)C(N)=O
179,ACENIG,plate,ethyl acetate/petroleum ether,NC(=O)C1C2CCCCC2=CC2CN(Cc3ccccc3)C(=O)C12
180,ACENUS,block,hexane,O=N(=O)c1ccc(OC2CCCCO2)cc1
181,ACEOXM01,block,diethyl ether,CC(C)=NO
182,ACEPAA,irregular block,water,OB(O)C1=C(C=O)C=CO1
183,ACEPEE,block,ethanol,COc1ccc(cc1)C1C(=C(N)OC2=C1c1cc(OC)ccc1CC2)C#N
184,ACEPII,rod,chloroform,C(N1c2ccccc2c2ccccc12)c1cccnc1
185,ACEPOO01,block or plate,hexane,Clc1cc(Br)cc(Cl)c1I
186,ACEPUU,plate,ethanol,O=P1(OP2(=O)c3ccccc3c3ccccc23)c2ccccc2c2ccccc12
187,ACEQIJ,needle,acetone-dichloromethane,OCC1OC(CC=C)CC(O)C1O
188,ACEQUV,prism,water,Cc1ccc(cc1F)C(O)=O
189,ACEREG,prism,acetone,CC1=CC(=O)N(CC(=O)c2cccc(c2)N(=O)=O)C2=C1CCCC2
190,ACERIK01,plate,ethanol,O=N(=O)c1ccc(NN=Cc2ccccc2N(=O)=O)cc1
191,ACEROQ,block,ethyl acetate,CC1Oc2cc(F)c(NC(=O)c3ccccc3F)cc2N(CC#C)C1=O
192,ACESEH,plate,hexane-dichloromethane-ethyl acetate,CC1(C)C2CC(=O)C3(C)C(CCC4(C)C(OC(=O)C5OC345)C3=COC=C3)C2(C)C=CC1=O
193,ACETAE,block,hot methanol,CC(=O)OCC1OC(N=[N+]=[N-])C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
194,ACETIM01,block,dimethylsulfoxide,C(CCCSC1=NN=NN1c1ccccc1)CCSC1=NN=NN1c1ccccc1
195,ACETOS,prism,methanol,Oc1ccc(C=Cc2ccccc2)c2cccnc12
196,ACEVIO,block,ethanol,CC1(C)Nc2ccccc2C(=O)N1c1ccc(Br)cc1
197,ACEVUA,block,ethanol,COc1ccc(cc1)C(=O)NC(=S)Nc1ccccc1Cl
198,ACEWEL,plate,methanol,CCCCN1C(=O)CC2C3CCc4cc(OC(C)=O)ccc4C3CCC2(C)C1=O
199,ACEWUB,block,DMF,Oc1ccccc1C(=O)NN=Cc1ccccc1F
200,ACEXOW,prism,benzene/ethyl acetate,COc1ccccc1C1=COc2cc3OCOc3c(OC)c2C1=O
201,ACEYOX,block,ethanol,COc1ccc(cc1)C1C2=C(CCCC2=O)NC2=C1C(=O)CCC2
202,ACEZAK,block,ethanol,Cc1cccc(C)c1NC(=O)CN1CCN(CC1)CC1=NC(=NO1)c1ccc(cc1)N(=O)=O
203,ACEZEO,needle,ethanol,Brc1ccc(CC(C(=O)c2ccccc2)C(=O)c2ccccc2)cc1
204,ACEZIS,slab,methanol,COc1ccc(cc1)C(=O)NC(=S)Nc1ccccc1Br
205,ACEZUD,prism,absolute ethanol,CC(C)C1C(NC(CC1=O)c1ccccc1)c1ccccc1
206,ACEZUE,prism,petroleum ether,CCOC(=O)C(C#N)=C1NC=Nc2ccccc12
207,ACIBAQ,plate,heptane,CCOC(=O)C(C#N)=C1NC(=Nc2ccccc12)C
208,ACIBET,plate,methanol/DMSO,O=C(CN(CC(=O)Nc1ccccc1)CC(=O)Nc1ccccc1)Nc1ccccc1
209,ACIBOD,prism,aqueous/chloroform/methanol,CC1C2CCC3C4(CCCC5(C)COC(=O)C45)COC(=O)C3(C2)C1=O
210,ACIBUJ,needle,acetonitrile,C1CCC(=CC1)C=CB12OCC[NH]1CCO2
211,ACICAQ,polyhedral,methanol,CN(c1ccc(cc1Oc1ccccc1)N(=O)=O)S(C)(=O)=O
212,ACICAR01,plate,ethyl acetate,c1cncc(c1)C=Nc1ccc(cc1)N=Cc1cccnc1
213,ACICOE,block,chloroform,CCC(C)C1NC(=O)C2=CSC(=N2)C(NC(=O)C(NC(=O)C(NC(=O)C2=CSC(=N2)C(NC(=O)C(NC1=O)C(C)OS(=O)OC)C(C)C)C(C)CC)C(C)OS(=O)OC)C(C)C
214,ACICUK,prismatic,chloroform,CC(C)c1cccc(C(C)C)c1OP(O)(O)=O
215,ACIDAR,needle,chloroform,O=C1C=CC(=NNc2ccccc2N(=O)=O)c2ccccc12
216,ACIFOH,slab,methanol,COc1ccc(cc1)C=NN=C1c2ccccc2c2ccccc12
217,ACIGEZ,prism,2-butanone,CC1CC2(SC(=NN2C(C)=O)NC(C)=O)C2CC1C2(C)C
218,ACIGID01,prism,ethanol,CC(=O)NC1=NN(C(C)=O)C2(CC3CCC2(C)C3(C)C)S1
219,ACIJOL,blocks,dimethoxyethane/methanol,c1ccc(cc1)P(c1ccccc1)c1[p-]c(c2ccccc12)[P+](c1ccccc1)(c1ccccc1)c1ccccc1
220,ACIJUR,plates,THF/hexane,[BH3][P](c1ccccc1)(c1ccccc1)c1[p-]c(c2ccccc12)[P+](c1ccccc1)(c1ccccc1)c1ccccc1
221,ACIKON,prism,acetonitrile,COc1ccc(cc1)N1CC2(N(OC(=O)N2c2ccccc2)C1c1ccccc1)c1ccccc1
