,REFCODE,Habit,Solvent,SMILES
18985,KACRIQ,plate,toluene,CCCC1(CCC)c2cc(ccc2c2ccc(cc12)c1ccc2c3ccc(cc3C(CCC)(CCC)c2c1)c1ccc(CC)cc1)c1ccc(CC)cc1
18986,KACRUC01,thin prism,sublimation,CC1(C)C(O)OC(=O)c2ccccc12
18987,KACRUE,prism,dichloromethane/hexane,c1ccc2c(c1)ccnc2c1c2ccccc2ccc1c1ccc2ccccc2c1c1nccc2ccccc12
18988,KACSOX01,block,ethyl acetate,COc1ccc2C(=O)CCc2c1
18989,KACTAK,prism,methanol,CC1(C)OC(C(O1)C(O)(c1ccccc1)c1ccccc1)C(=O)c1ccccc1
18990,KACVEQ,block,ethyl acetate,Fc1c(F)c(F)c(C=C2C3CCC(C3)C2=Cc2c(F)c(F)c(F)c(F)c2F)c(F)c1F
18991,KACVES,block,acetone,CC(C)C1(O)CCC(C)(O)C(O)C1
18992,KACVIU,block,methanol,C1CC2CC1C(=Cc1ccccc1)C2=Cc1ccccc1
18993,KACWEQ,prism,acetone,CCCC(=O)OC1CC(=CC2OC(=O)C3(C)OC23C(OC(C)=O)C2C(C)C(O)CC(OC(C)=O)C2(C)C1OC(C)=O)C
18994,KACWUI,plate,dichloromethane,C[Si](C)(c1ccccc1)C1(CO)CCC(CO)O1
18995,KADCEZ,plate,chloroform/methanol,CSC1=C(SC(=O)c2ccccc2)C(=S)SS1
18996,KADCIC,prism,pentane,CC1=CSC2=C1C1=C(SC=C1C)S2(=O)=O
18997,KADCID,needle,acetone,O=C(SC1=C(SCc2ccccc2)SSC1=S)c1ccccc1
18998,KADCOJ,slab,ethanol,O=C(NN=Cc1ccccc1C#N)c1cnccn1
18999,KADCUP,plate,ethanol,O=C(NN=Cc1ccc(cc1)C#N)c1cnccn1
19000,KADDAW,slab,ethanol,COc1cccc(C=NNC(=O)c2cnccn2)c1
19001,KADDEA,plate,ethanol,COc1ccc(cc1)C=NNC(=O)c1cnccn1
19002,KADDIE,block,ethanol,CCOc1ccccc1C=NNC(=O)c1cnccn1
19003,KADDOK,block,ethanol,CCOc1cccc(C=NNC(=O)c2cnccn2)c1
19004,KADDUQ,block,ethanol,O=C(NN=Cc1ccccc1N(=O)=O)c1cnccn1
19005,KADFAY01,block,chloroform/toluene,O=C(SC1=C(SSC2=C(SC(=S)S2)SC(=O)c2ccccc2)SC(=S)S1)c1ccccc1
19006,KADNAF,prism,methanol,COc1ccc2c(c1)C(=O)CC1C3CCC(=O)C3(C)CCC21OOC(C)(C)C
19007,KADNEJ,prism,methanol,COc1ccc2c(c1)C(=O)CC1C3CCC(=O)C3(C)CCC21O
19008,KADNUZ,needle,aqueous methanol,CCC1C=CC(=O)OC1C(C)CC(C)C(O)CC(O)C=CC=Cc1cccc(O)c1Cl
19009,KADRUD,needles,methanol,CC1OC(=O)Nc2ccccc2C(OC(C)=O)C1Br
19010,KADSAK,prisms,diethyl ether,CC1OC(=O)N2C1C(OC(C)=O)c1ccccc21
19011,KADYAR,prismatic,chloroform/n-hexane,COc1cccc(P(c2ccccc2)c2ccccc2)c1N1C=Cc2ccccc12
19012,KADYEV,prismatic,chloroform/n-hexane,FC(F)(F)c1cccc(P(c2ccccc2)c2ccccc2)c1N1C=Cc2ccccc12
19013,KADYIZ,cube,chloroform/hexane,Cc1ccccc1N1C(=Cc2ccccc12)P(c1ccccc1)c1ccccc1
19014,KAFBAW,block,pentane/tetrahydrofuran,Cl[Mg]12(O3CCCC3)(O3CCCC3)O3B(c4ccccc4)(n4cccn14)n1cccn1B3(c1ccccc1)n1cccn21
19015,KAFBID01,plate,ethyl acetate/hexane,OC(=O)C=C(I)c1ccccc1
19016,KAFDIE02,block,ethanol,CN(C)c1ccc(cc1)C=NNC(N)=S
19017,KAFGOP,needle,diethyl ether/petrol,CCC(C)C(OC(=O)c1ccc(Br)cc1)C(C)C(=O)C(C)C=C(C)CC(C)C1OC(=O)C1C
19018,KAFGUU,blocks,heptane,CC(C)c1cccc(C(C)C)c1N1[Mg](c2ccccc2)N(=C(C)C=C1C)c1c(cccc1C(C)C)C(C)C
19019,KAFHEF,rhombs,benzene,CC(C)c1cccc(C(C)C)c1N1C(=CC(=N(c2c(cccc2C(C)C)C(C)C)[Mg]21Cl[Mg]1(Cl2)N(C(=CC(=N1c1c(cccc1C(C)C)C(C)C)C)C)c1c(cccc1C(C)C)C(C)C)C)C
19020,KAFHIJ,rhombs,toluene,CC(C)c1cccc(C(C)C)c1N1C(=CC(=N(c2c(cccc2C(C)C)C(C)C)[Mg]21Br[Mg]1(Br2)N(C(=CC(=N1c1c(cccc1C(C)C)C(C)C)C)C)c1c(cccc1C(C)C)C(C)C)C)C
19021,KAFHIK,block,butanone/ethanol,Cc1ccc(cc1)C(=O)Oc1ccc(cc1C(=O)Nc1ccc(c(c1)C(F)(F)F)N(=O)=O)c1ccc(F)cc1F
19022,KAFHOP,prisms,heptane,CC(C)N(C(C)C)[Mg]1N(C(=CC(=N1c1c(cccc1C(C)C)C(C)C)C)C)c1c(cccc1C(C)C)C(C)C
19023,KAFHOQ,chunk,butanone/ethanol,Fc1ccc(c(F)c1)c1ccc(OC(=O)c2ccc(Cl)cc2)c(c1)C(=O)Nc1ccc(c(c1)C(F)(F)F)N(=O)=O
19024,KAFHUV,prisms,heptane,CC(C)c1cccc(C(C)C)c1N1[Mg](N([Si](C)(C)C)[Si](C)(C)C)N(=C(C)C=C1C)c1c(cccc1C(C)C)C(C)C
19025,KAFJAE,plate,ethanol,CCOC(=O)C1=C(C)SC2C(C1N(C)C(=C2N(=O)=O)O)N(=O)=O
19026,KAFKEJ01,block,hexane,C1CCB2(C1)N1c3ccccc3C=N1B1(CCCC1)N1c3ccccc3C=N21
19027,KAFQOX,plate,water,Cc1cc(cc(C)n1[O])N(=O)=O
19028,KAFYEW,block,methanol/ethyl acetate,CN1NC(NN(C)C1=O)C1=NNC=C1
19029,KAFZEZ,block,dichloromethane/hexane,CC(C)(C)C1=CC2(C=C(C1=O)C(C)(C)C)N1C(=NC(=C1c1ccccc1)c1ccccc1)C1=C2SC=C1
19030,KAFZID,block,dichloromethane/hexane,CC(C)(C)C1=CC2(C=C(C1=O)C(C)(C)C)N1C(=NC(=C1c1ccccc1)c1ccccc1)C1=C2SC(=C1)c1ccccc1
19031,KAFZUO,plate,toluene,C[Si]1(C)c2cccc3cc4cccc(c4cc23)[Si](C)(C)[Si](C)(C)c2cccc3cc4cccc(c4cc23)[Si]1(C)C
19032,KAGBIF,plate,methanol,COc1ccccc1C(C#C)C(COS(=O)(=O)CC12CCC(CC1=O)C2(C)C)CC1CCCCC1
19033,KAGBOL,plate,acetonitrile,Brc1ccc(cc1)C=C1CC(CC1=O)C1=CNc2ccccc12
19034,KAGCAX,block,dichloromethane/hexane,CCOC(=O)C1=C(C)C(=C(N1)C1=C(C(=C(N1)C(=O)OCC)C)C(C)(C)C)C(C)(C)C
19035,KAGFOP,columnar,dichloromethane/methanol,c1ccc(cc1)c1c2cccc3cccc(c23)c2c(c3ccccc3)c3cccc4cccc(c34)c12
19036,KAGFUV,columnar,dichloromethane/methanol,c1ccc(cc1)c1c2cccc3ccc4c5ccccc5c5c6cccc7cccc(c67)c1c5c4c23
19037,KAGGEG02,tabular,dichloromethane/methanol,c1cc2cccc3c4cc5cccc6cccc(c4cc(c1)c23)c56
19038,KAGGIK,columnar,dichloromethane/methanol,CCCCc1c2cccc3cccc(c23)c2c(CCCC)c3cccc4cccc(c34)c12
19039,KAGLOW,irregular,ethanol,CC(SC(=S)N1CCCCC1)C(=O)c1cc(Br)cc(Br)c1O
19040,KAGQOY,block,ethanol,CSC1=C(C=O)C(=O)C2OC(OCC2O1)c1ccccc1
19041,KAGROA,prisms,diethyl ether,C(CN=Cc1ccc2ccccc2n1)N=Cc1ccc2ccccc2n1
